building,season,gameType,games,games_with_attendance,coverage_pct,mean_attendance
Scotiabank Arena,2026,Playoffs,3,3,100.0,19839.7
State Farm Arena,2026,Playoffs,3,3,100.0,18300.0
TD Garden,2026,Playoffs,4,4,100.0,19156.0
Target Center,2026,Playoffs,6,6,100.0,18978.0
Toyota Center,2026,Playoffs,3,3,100.0,18055.0
Xfinity Mobile Arena,2026,Playoffs,5,5,100.0,19746.0
American Airlines Center,2026,Regular Season,41,41,100.0,19288.3
Arena CDMX,2026,Regular Season,1,1,100.0,20385.0
Ball Arena,2026,Regular Season,41,41,100.0,19826.0
Barclays Center,2026,Regular Season,41,41,100.0,17412.1
Capital One Arena,2026,Regular Season,41,41,100.0,16106.7
Chase Center,2026,Regular Season,41,41,100.0,18064.0
Crypto.com Arena,2026,Regular Season,41,41,100.0,18854.8
Delta Center,2026,Regular Season,41,40,97.6,18186.0
FedExForum,2026,Regular Season,40,40,100.0,15339.4
Fiserv Forum,2026,Regular Season,41,41,100.0,16649.9
Frost Bank Center,2026,Regular Season,38,38,100.0,18702.7
Gainbridge Fieldhouse,2026,Regular Season,41,41,100.0,16641.1
Golden 1 Center,2026,Regular Season,41,41,100.0,16139.9
Intuit Dome,2026,Regular Season,41,41,100.0,17622.0
Kaseya Center,2026,Regular Season,41,41,100.0,19708.9
Kia Center,2026,Regular Season,40,40,100.0,18461.8
Little Caesars Arena,2026,Regular Season,40,40,100.0,19650.9
Madison Square Garden,2026,Regular Season,40,40,100.0,19801.4
Moda Center,2026,Regular Season,41,41,100.0,17533.2
Moody Center,2026,Regular Season,2,2,100.0,16213.0
Mortgage Matchup Center,2026,Regular Season,41,40,97.6,17071.0
Paycom Center,2026,Regular Season,41,41,100.0,18203.0
Rocket Arena,2026,Regular Season,41,41,100.0,19432.0
Scotiabank Arena,2026,Regular Season,41,41,100.0,18832.7
Smoothie King Center,2026,Regular Season,41,41,100.0,16475.8
Spectrum Center,2026,Regular Season,41,41,100.0,18715.1
State Farm Arena,2026,Regular Season,41,41,100.0,16355.6
T-Mobile Arena,2026,Regular Season,2,2,100.0,17608.0
TD Garden,2026,Regular Season,41,41,100.0,19156.0
Target Center,2026,Regular Season,41,41,100.0,17865.0
The O2 Arena,2026,Regular Season,1,1,100.0,18424.0
Toyota Center,2026,Regular Season,41,41,100.0,18058.0
Uber Arena,2026,Regular Season,1,1,100.0,13738.0
United Center,2026,Regular Season,41,41,100.0,20243.8
Xfinity Mobile Arena,2026,Regular Season,41,41,100.0,18996.9
